id,name,country,level,tm_url,end_of_year_end
1,Premier League,ENG,1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,0
2,La Liga,ESP,1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,0
3,Ligue 1,FRA,1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1,0
4,Bundesliga,GER,1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1,0
5,Serie A,ITA,1,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1,0
6,EFL Championship,ENG,2,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,0
7,Segunda Division,ESP,2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,0
8,Ligue 2,FRA,2,https://www.transfermarkt.com/ligue-2/startseite/wettbewerb/FR2,0
9,2. Bundesliga,GER,2,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2,0
10,Serie B,ITA,2,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,0
11,Eredivisie,NED,1,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1,0
12,Liga Portugal,POR,1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,0
13,Pro League,BEL,1,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1,0
14,Süper Lig,TUR,1,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1,0
15,Bundesliga,AUT,1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/A1,0
16,Super League,SUI,1,https://www.transfermarkt.com/super-league/startseite/wettbewerb/C1,0
17,Allsvenskan,SWE,1,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1,1
18,First Leagze,CZE,1,https://www.transfermarkt.com/chance-liga/startseite/wettbewerb/TS1,0
19,Superliga,DEN,1,https://www.transfermarkt.com/superligaen/startseite/wettbewerb/DK1,0
20,Super League 1,GRE,1,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1,0
21,Premier Liga,RUS,1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/RU1,0
22,Ekstraklasa,POL,1,https://www.transfermarkt.com/pko-ekstraklasa/startseite/wettbewerb/PL1,0
23,Scottish Premiership,SCO,1,https://www.transfermarkt.com/scottish-premiership/startseite/wettbewerb/SC1,0
24,Eliteserien,NOR,1,https://www.transfermarkt.com/eliteserien/startseite/wettbewerb/NO1,1
25,3. Liga,GER,3,https://www.transfermarkt.de/3-liga/startseite/wettbewerb/L3,0
